course_of_action	attack_pattern
#272:23	#188:4
#256:85	#194:4
#262:33	#207:1
#249:42	#177:4
#257:41	#204:7
#286:71	#171:6
#254:47	#179:4
#3661:137	#3191:2
#287:11	#170:4
#3680:138	#3214:1
#3658:36	#3215:2
#3660:158	#3205:12
#272:23	#177:2
#3659:6	#3191:2
#251:83	#197:5
#3659:203	#3183:3
#256:80	#172:12
#256:80	#201:1
#272:23	#206:1
#262:48	#205:11
#3660:198	#3193:2
#3661:44	#3193:2
#274:78	#170:16
#3658:50	#3191:2
#3659:156	#3194:6
#3658:84	#3200:9
#3677:41	#3205:5
#3661:182	#3204:1
#257:34	#190:3
#3660:137	#3204:1
#272:11	#184:10
#283:97	#204:15
#252:1	#180:7
#285:3	#171:13
#254:44	#193:2
#267:24	#170:10
#3658:86	#3191:2
#3659:17	#3193:2
#254:40	#174:7
#3659:182	#3191:2
#254:38	#197:2
#3659:85	#3193:2
#277:19	#208:6
#272:13	#183:3
#252:24	#172:1
#3662:12	#3191:2
#3658:16	#3194:6
#284:90	#178:11
#3693:136	#3206:8
#266:69	#183:5
#3658:136	#3191:2
#282:7	#185:14
#3658:19	#3191:2
#284:46	#205:11
#285:3	#193:15
#256:80	#195:1
#3660:218	#3205:12
#249:41	#198:15
#269:56	#171:6
#264:73	#197:9
#3659:129	#3191:2
#269:20	#177:8
#3658:215	#3212:4
#3658:159	#3191:2
#264:12	#202:2
#3660:73	#3183:3
#256:80	#197:0
#256:85	#186:10
#3659:20	#3194:6
#287:4	#195:8
#3658:47	#3191:2
#272:13	#180:4
#3662:6	#3194:6
#3661:75	#3205:12
#3661:172	#3193:2
#279:4	#195:8
#254:56	#179:5
#3681:151	#3189:7
#3658:192	#3194:6
#3660:23	#3191:2
#272:13	#171:6
#3662:16	#3191:2
#3684:112	#3194:6
#269:46	#179:5
#262:25	#178:5
#256:85	#181:3
#3659:183	#3204:1
#3662:86	#3191:2
#3659:131	#3200:9
#254:56	#203:10
#256:80	#203:10
#264:22	#178:5
#266:47	#187:6
#3673:72	#3214:1
#264:12	#196:13
#3662:17	#3205:12
#275:92	#175:14
#3659:34	#3216:2
#279:70	#180:13
#3662:42	#3212:4
#3659:60	#3191:2
#3661:67	#3194:6
#3678:85	#3201:6
#269:85	#197:2
#257:34	#190:14
#249:39	#170:9
#3661:72	#3193:2
#274:78	#188:13
#3661:175	#3204:1
#3660:28	#3205:12
#3660:77	#3183:3
#259:39	#208:14
#3659:65	#3194:6
#272:12	#204:7
#274:95	#169:10
#3660:135	#3194:6
#3662:106	#3191:2
#262:16	#171:6
#259:52	#203:3
#249:32	#193:9
#279:31	#190:15
#3675:46	#3181:12
#274:78	#176:4
#274:78	#177:3
#3658:198	#3207:4
#281:88	#195:6
#272:11	#187:12
#254:38	#185:14
#3658:30	#3191:2
#3661:134	#3194:6
#249:10	#172:0
#3658:43	#3194:6
#3660:98	#3191:2
#3658:197	#3191:2
#3659:189	#3191:2
#264:48	#190:13
#3662:91	#3191:2
#279:80	#180:6
#274:78	#169:7
#3658:108	#3191:2
#266:75	#175:12
#3694:190	#3215:8
#287:7	#188:11
#3662:21	#3205:12
#3660:197	#3193:2
#266:47	#184:5
#3697:148	#3205:12
#3660:168	#3191:2
#3661:157	#3191:2
#3666:87	#3212:4
#282:26	#172:6
#3659:15	#3191:2
#266:75	#198:7
#254:47	#181:10
#249:63	#202:1
#254:45	#206:2
#3660:121	#3193:2
#284:90	#177:4
#3662:70	#3193:2
#249:32	#176:1
#3661:139	#3195:2
#3658:40	#3205:12
